latitude,longitude,name,label
-34.62215646653463,-58.48298690680926,Lamarca Emilio 1022,CMB N° 2
-34.635635287689155,-58.45255425526388,Carabobo av. 801,CMB N° 4
-34.61962736270747,-58.39366445269422,Estados Unidos 1936,CMB N° 6
-34.641822095585546,-58.51924097214674,Martiniano Leguizamón 230,CMB N° 7
-34.640974479212076,-58.43169215746004,La Capital 1131,CMB N° 8
-34.66984156328813,-58.47134817993619,Albariño 3512,CMB N° 9
-34.63198597621229,-58.37285701922034,Garcia, Martin Av. 612,CMB N° 10
-34.61924574326472,-58.46517712791042,Páez 2283,CMB N° 12
-34.612079846271065,-58.47971740597965,Camarones 2834,CMB N° 13
-34.65266855011404,-58.422797917607845,Ramirez, Carlos M. 1445,CMB N° 18
-34.61362258867436,-58.52671409213821,Colihue 2977,CMB N° 19
-34.64933900596383,-58.494358216884194,Araujo 1246,CMB N° 20
-34.62976848530756,-58.42974129374334,Tejedor 251,CMB N° 23
-34.632782101422784,-58.40402120478911,Brasil 2867,CMB N° 24
-34.647076510371285,-58.468308209714394,Martínez Castro 1375,CMB N° 25
-34.551702208177595,-58.463199016136954,Guayra 2193,CMB N°26
-34.60518577990644,-58.444822825419614,Antezana 340,CMB N° 27
-34.66585120048752,-58.48499025490431,Echeandia 5567,CMB N° 28
-34.61239759837258,-58.40332612030161,Saavedra 205,CMB N°29
-34.633504174073295,-58.37052338074424,Arzobispo Espinosa 1211,CMB N° 30
-34.62799486425087,-58.5040205613833,Calderón de la Barca, Pedro 1198,CMB N° 32
-34.54478832875192,-58.476641829291886,Cramer 4354,CMB N° 33
-34.5912295094877,-58.49882171646446,Carril, Salvador María del Av. 2956,CMB N° 35
-34.58521253949138,-58.48605760681754,Burela 1604,CMB N° 36
-34.64618904038591,-58.371794518670065,Isabel la Católica 1492,CMB N° 37
-34.65188380034313,-58.47781130578129,Moreto 1581,CMB N° 38
-34.645891328213715,-58.42453955622417,Las Palmas 2479,CMB N° 1
-34.660808070848645,-58.43325617108891,Varela 3395,CMB N° 39
-34.619161926755424,-58.43792911604598,Av. Rivadavia 5126,CMB N° 34
-34.61101727520689,-58.50530216183439,Nogoya 4302,CMB N° 5
-34.56520715345382,-58.486395997771055,Miller 3192,CMB N°17
